source,source_query,trade,business_name,slug,phone,category,rating,review_count,address,city,state,google_maps_url,google_maps_website_url,search_query,search_website_url,search_website_title,search_website_snippet,search_has_website,website_url,has_website,website_verification_status,website_verification_notes,business_status,first_seen_on,last_seen_on,times_seen,generated_site_url,generated_site_path,pitch_status,last_called_on,notes
google_maps,plumber in Phoenix AZ,plumber,Parker & Sons,parker-sons,(602) 424-9619,,,,"3636 E Anne St A, Phoenix, AZ 85040",Phoenix,AZ,https://www.google.com/maps/place/Parker+%26+Sons/data=!4m7!3m6!1s0x872b0faad068d687:0xcb13480c28213ccd!8m2!3d33.4139155!4d-112.0022947!16s%2Fg%2F1td4_9w8!19sChIJh9Zo0KoPK4cRzTwhKAxIE8s?authuser=0,https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,,,,,no,https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,plumber in Phoenix AZ,plumber,"Maloney Plumbing & Drain Services in Phoenix, AZ",maloney-plumbing-drain-services-in-phoenix-az,(602) 671-3617,,,,"9119 N 7th St Suite 201, Phoenix, AZ 85020",Phoenix,AZ,"https://www.google.com/maps/place/Maloney+Plumbing+%26+Drain+Services+in+Phoenix,+AZ/data=!4m7!3m6!1s0x872b6d76a380dc33:0xba9cbcafc1c241b2!8m2!3d33.5689897!4d-112.0647714!16s%2Fg%2F1tdq_5db!19sChIJM9yAo3ZtK4cRskHCwa-8nLo?authuser=0",https://www.maloneyplumbing.com/?utm_source=gmb&utm_medium=organic,,,,,no,https://www.maloneyplumbing.com/?utm_source=gmb&utm_medium=organic,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,plumber in Phoenix AZ,plumber,"Robins Plumbing, Inc",robins-plumbing-inc,(623) 486-4657,,,,"2802 N 37th Ave, Phoenix, AZ 85009",Phoenix,AZ,"https://www.google.com/maps/place/Robins+Plumbing,+Inc/data=!4m7!3m6!1s0x872b0d6667164341:0x96c68c1d6e54571b!8m2!3d33.4791383!4d-112.1390537!16s%2Fg%2F11c6rxv747!19sChIJQUMWZ2YNK4cRG1dUbh2MxpY?authuser=0",https://www.robinsplumbing.com/,,,,,no,https://www.robinsplumbing.com/,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,plumber in Phoenix AZ,plumber,Rooter Hero Plumbing & Air of Phoenix,rooter-hero-plumbing-air-of-phoenix,(480) 351-0043,,,,"5424 S 40th St, Phoenix, AZ 85040",Phoenix,AZ,https://www.google.com/maps/place/Rooter+Hero+Plumbing+%26+Air+of+Phoenix/data=!4m7!3m6!1s0x872b0ee74659f195:0xe128cdf9a5340cf!8m2!3d33.397321!4d-111.9959337!16s%2Fg%2F1vbnpwhk!19sChIJlfFZRucOK4cRz0BTmt-MEg4?authuser=0,https://rooterhero.com/plumber-phoenix-az-plumbing-repair-service,,,,,no,https://rooterhero.com/plumber-phoenix-az-plumbing-repair-service,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,plumber in Phoenix AZ,plumber,All Aloha Plumbing Phoenix,all-aloha-plumbing-phoenix,(480) 447-8153,,,,"1615 W University Dr STE 131, Tempe, AZ 85281",Tempe,AZ,https://www.google.com/maps/place/All+Aloha+Plumbing+Phoenix/data=!4m7!3m6!1s0x872b0f2e9b1c4dd9:0xced240e60dbb268b!8m2!3d33.4210234!4d-111.9651762!16s%2Fg%2F11t74mq9bl!19sChIJ2U0cmy4PK4cRiya7DeZA0s4?authuser=0,https://www.callallaloha.com/phoenix/?utm_source=google&utm_medium=gbp&utm_campaign=Tempe,,,,,no,https://www.callallaloha.com/phoenix/?utm_source=google&utm_medium=gbp&utm_campaign=Tempe,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Phoenix AZ,landscaper,Copper Valley Landscaping,copper-valley-landscaping,(480) 526-1699,,,,"243 N Winthrop Cir, Mesa, AZ 85213",Mesa,AZ,https://www.google.com/maps/place/Copper+Valley+Landscaping/data=!4m7!3m6!1s0x872ba91f3679d025:0x19441c81c3672cf!8m2!3d33.420236!4d-111.771475!16s%2Fg%2F1s049rclt!19sChIJJdB5Nh-pK4cRz3I2HMhBlAE?authuser=0,http://www.coppervalleylandscaping.com/,,,,,no,http://www.coppervalleylandscaping.com/,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Phoenix AZ,landscaper,The Synthetic Grass Store,the-synthetic-grass-store,(602) 491-2989,,,,"2720 E Mohawk Ln, Phoenix, AZ 85050",Phoenix,AZ,https://www.google.com/maps/place/The+Synthetic+Grass+Store/data=!4m7!3m6!1s0x872b7049dafc0069:0x41638f8cc95ff45c!8m2!3d33.673598!4d-112.023092!16s%2Fg%2F1t_tkrys!19sChIJaQD82klwK4cRXPRfyYyPY0E?authuser=0,https://www.syntheticgrassstore.com/?keywordutm_source=google,,,,,no,https://www.syntheticgrassstore.com/?keywordutm_source=google,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,1,,,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Phoenix AZ,landscaper,BIG BOSS Landscape,big-boss-landscape,(480) 875-5555,,,,"E Burgess Ln, Phoenix, AZ 85042",Phoenix,AZ,https://www.google.com/maps/place/BIG+BOSS+Landscape/data=!4m7!3m6!1s0x2d48ed79a7851a57:0x4aeb5a8ce0471672!8m2!3d33.3916037!4d-111.9793954!16s%2Fg%2F11w83xgx52!19sChIJVxqFp3ntSC0RchZH4Ixa60o?authuser=0,http://bigbosslandscape.com/,,,,,no,http://bigbosslandscape.com/,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Phoenix AZ,landscaper,AMS Landscaping,ams-landscaping,(602) 944-0421,,,,"11035 N 23rd Dr #9, Phoenix, AZ 85029",Phoenix,AZ,https://www.google.com/maps/place/AMS+Landscaping/data=!4m7!3m6!1s0x872b0ebb7e4d4035:0x2b83f2c1444bea00!8m2!3d33.5872208!4d-112.109417!16s%2Fg%2F1txy2tfv!19sChIJNUBNfrsOK4cRAOpLRMHygys?authuser=0,https://azlawns.com/,,,,,no,https://azlawns.com/,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Phoenix AZ,landscaper,Diamond Stone & Synthetic Grass,diamond-stone-synthetic-grass,(623) 293-0396,,,,"1641 W Palmer Dr, Phoenix, AZ 85021",Phoenix,AZ,https://www.google.com/maps/place/Diamond+Stone+%26+Synthetic+Grass/data=!4m7!3m6!1s0x872b41eb9ab03077:0xe343754a9342ba10!8m2!3d33.5717044!4d-112.0951284!16s%2Fg%2F11f0k_cx3n!19sChIJdzCwmutBK4cRELpCk0p1Q-M?authuser=0,https://dssggogreen.com/,,,,,no,https://dssggogreen.com/,yes,found_on_google_maps,Google Maps listed a website directly.,open,2026-03-29,2026-03-29,2,,,new,,Scraped from Google Maps detail page.
