source,source_query,trade,business_name,slug,phone,category,rating,review_count,address,city,state,google_maps_url,google_maps_website_url,search_query,search_website_url,search_website_title,search_website_snippet,search_has_website,website_url,has_website,website_verification_status,website_verification_notes,business_status,first_seen_on,last_seen_on,times_seen,generated_site_url,generated_site_path,short_url,pitch_status,last_called_on,notes
google_maps,plumber in Apache Junction AZ,plumber,Ginco Plumbing & Excavating,ginco-plumbing-excavating,(480) 288-1077,,,,"1395 E 18th Ave, Apache Junction, AZ 85119",Apache Junction,AZ,https://www.google.com/maps/place/Ginco+Plumbing+%26+Excavating/data=!4m7!3m6!1s0x872bb6f3cfc7837b:0xe87f229e0fdf57d3!8m2!3d33.3987509!4d-111.5313208!16s%2Fg%2F1v2pqp82!19sChIJe4PHz_O2K4cR01ffD54if-g?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/ginco-plumbing-excavating/,generated/ginco-plumbing-excavating/index.html,https://is.gd/MDTjKg,new,,Scraped from Google Maps detail page.
google_maps,plumber in Apache Junction AZ,plumber,Sage Plumbing Arizona,sage-plumbing-arizona,(928) 216-4180,,,,,Apache Junction,AZ,https://www.google.com/maps/place/Sage+Plumbing+Arizona/data=!4m7!3m6!1s0x821d67636be6840f:0x7b80b0c40b9c2939!8m2!3d34.6768126!4d-112.3650015!16s%2Fg%2F11yw9wr_qj!19sChIJD4Tma2NnHYIROSmcC8SwgHs?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/sage-plumbing-arizona/,generated/sage-plumbing-arizona/index.html,https://is.gd/KGZKUZ,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Apache Junction AZ,landscaper,Apache Junction Landscapers Co.,apache-junction-landscapers-co,(480) 527-0457,,,,"1000 W Apache Trail, Apache Junction, AZ 85120",Apache Junction,AZ,https://www.google.com/maps/place/Apache+Junction+Landscapers+Co./data=!4m7!3m6!1s0x872bb7bc09d6468f:0x40ad755cccd372ba!8m2!3d33.4157653!4d-111.5581022!16s%2Fg%2F11j1jmfn5_!19sChIJj0bWCby3K4cRunLTzFx1rUA?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/apache-junction-landscapers-co/,generated/apache-junction-landscapers-co/index.html,https://is.gd/AsMjhv,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Apache Junction AZ,landscaper,The Apache Junction Landscaping Company,the-apache-junction-landscaping-company,(480) 750-7505,,,,,Apache Junction,AZ,https://www.google.com/maps/place/The+Apache+Junction+Landscaping+Company/data=!4m7!3m6!1s0x872bb7435916b01d:0x6b729973d56ca847!8m2!3d33.358591!4d-111.724542!16s%2Fg%2F11t9w9557m!19sChIJHbAWWUO3K4cRR6hs1XOZcms?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/the-apache-junction-landscaping-company/,generated/the-apache-junction-landscaping-company/index.html,https://is.gd/9jl8YG,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Apache Junction AZ,landscaper,Royalty Landscape Creations LLC,royalty-landscape-creations-llc,(480) 842-0351,,,,,Apache Junction,AZ,https://www.google.com/maps/place/Royalty+Landscape+Creations+LLC/data=!4m7!3m6!1s0x2c4740a88251c097:0x2bc4734351cb6763!8m2!3d34.168035!4d-111.9307474!16s%2Fg%2F11w9fdlhrj!19sChIJl8BRgqhARywRY2fLUUNzxCs?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/royalty-landscape-creations-llc/,generated/royalty-landscape-creations-llc/index.html,https://is.gd/03ByMh,new,,Scraped from Google Maps detail page.
google_maps,water heater repair in Apache Junction AZ,water_heater_repair,The Water Heater Guy,the-water-heater-guy,(480) 980-8293,,,,,Apache Junction,AZ,https://www.google.com/maps/place/The+Water+Heater+Guy/data=!4m7!3m6!1s0x872ba9a73d8fef3d:0xeb5d18a68bef199!8m2!3d33.274751!4d-111.891768!16s%2Fg%2F11f5v8_dfx!19sChIJPe-PPaepK4cRmfG-aIrRtQ4?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/the-water-heater-guy/,generated/the-water-heater-guy/index.html,https://is.gd/pZvNb7,new,,Scraped from Google Maps detail page.
google_maps,water heater repair in Apache Junction AZ,water_heater_repair,Water Heaters West,water-heaters-west,(480) 228-0299,,,,,Apache Junction,AZ,https://www.google.com/maps/place/Water+Heaters+West/data=!4m7!3m6!1s0x872ba98288454b5b:0x647c1c6d4ddc336c!8m2!3d33.274751!4d-111.891768!16s%2Fg%2F11cn95kq5h!19sChIJW0tFiIKpK4cRbDPcTW0cfGQ?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/water-heaters-west/,generated/water-heaters-west/index.html,https://is.gd/OSaSCX,new,,Scraped from Google Maps detail page.
google_maps,plumber in Avondale AZ,plumber,Avondale Plumbing & Drain Services Exp,avondale-plumbing-drain-services-exp,(623) 220-4266,,,,"9950 W Van Buren St #1125, Avondale, AZ 85323",Avondale,AZ,https://www.google.com/maps/place/Avondale+Plumbing+%26+Drain+Services+Exp/data=!4m7!3m6!1s0x44f24fb1a276117d:0xc3d53eb2d69af591!8m2!3d33.451486!4d-112.273975!16s%2Fg%2F11yj9x1grz!19sChIJfRF2orFP8kQRkfWa1rI-1cM?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/avondale-plumbing-drain-services-exp/,generated/avondale-plumbing-drain-services-exp/index.html,https://is.gd/erwSB9,new,,Scraped from Google Maps detail page.
google_maps,plumber in Avondale AZ,plumber,A2Z Rooter & Plumbing LLC,a2z-rooter-plumbing-llc,(623) 292-1255,,,,,Avondale,AZ,https://www.google.com/maps/place/A2Z+Rooter+%26+Plumbing+LLC/data=!4m7!3m6!1s0x251d8e51de8ce4df:0xc687d7eee32d8c6a!8m2!3d33.485838!4d-112.3923814!16s%2Fg%2F11vlht6v7h!19sChIJ3-SM3lGOHSURaowt4-7Xh8Y?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/a2z-rooter-plumbing-llc/,generated/a2z-rooter-plumbing-llc/index.html,https://is.gd/eCS4y8,new,,Scraped from Google Maps detail page.
google_maps,landscaper in Avondale AZ,landscaper,Urban Landscape Solutions LLC.,urban-landscape-solutions-llc,(623) 377-8484,,,,"12725 W Indian School Rd #101, Avondale, AZ 85392",Avondale,AZ,https://www.google.com/maps/place/Urban+Landscape+Solutions+LLC./data=!4m7!3m6!1s0x872b3ee53be26157:0x61e08a0a26eedacb!8m2!3d33.4915891!4d-112.3325188!16s%2Fg%2F11c30_9xmn!19sChIJV2HiO-U-K4cRy9ruJgqK4GE?authuser=0,,,,,,no,,no,verified_no_website,No website on Google Maps and no likely official website found in web search.,open,2026-03-29,2026-03-29,1,https://pineapplestocks.github.io/business/generated/urban-landscape-solutions-llc/,generated/urban-landscape-solutions-llc/index.html,https://is.gd/yvrZvw,new,,Scraped from Google Maps detail page.
